User ID,Birthdate,City,State,Zip,Available Points,Total Points Earned,Points Spent,Joined On,Last Seen
942,1/22/2022 20:57,Harrison,Alabama,37341,2820,2830,10,9/10/2020 14:27,1/22/2022 20:57
3,1/11/1990,Merida,Alabama,97204,330,330,0,10/13/2020 16:20,4/21/2021 10:54
903,1/12/2022 19:16,Anthem,Arizona,85086,870,1070,200,9/10/2020 14:17,1/12/2022 19:16
4019,7/1/2002,Manhattan Beach,California,90266,400,400,0,8/30/2021 15:00,3/2/2022 21:05
5302,6/18/2021,San Marcos,California,92078,600,600,0,9/3/2021 17:53,3/2/2022 20:36
1179,12/5/2021,Bakersfield,California,93312,8510,14510,6000,9/17/2020 16:50,6/25/2022 0:42
342,4/17/2022 14:05,San Francisco,California,94105,3670,3680,10,9/9/2020 13:49,4/17/2022 14:05
2815,4/11/2022 17:04,Piedmont,California,94611,890,1350,460,3/7/2021 17:56,4/11/2022 17:04
2165,12/17/2020 2:09,Lafayette,California,94549,0,400,400,10/16/2020 14:45,12/17/2020 2:09
1845,2/3/2002,Littleton,Colorado,80123,4670,4970,300,10/11/2020 20:52,6/30/2022 18:25
2,4/13/2022 14:28,Los Angeles,Colorado,90210,320,320,0,8/19/2020 11:15,4/13/2022 14:28
602,6/30/2022 21:48,Aurora,Colorado,80016,14530,15030,500,9/10/2020 11:30,6/30/2022 21:48
874,5/3/2022 11:30,Winston-Salem,Connecticut,27109,15140,15490,350,9/10/2020 14:11,5/3/2022 11:30
97,7/12/2021 15:36,Washington,District of Columbia,20005,2130,2150,20,9/7/2020 12:15,7/12/2021 15:36
1725,10/17/2001,Lmao,District of Columbia,69694,2380,2380,0,10/2/2020 18:19,12/11/2021 19:43
6662,6/1/2000,Valrico,Florida,33596,660,660,0,11/18/2021 18:03,5/14/2022 0:43
2061,4/15/2022 18:21,Naples,Florida,34113,570,620,50,10/13/2020 16:14,4/15/2022 18:21
743,4/28/2021 14:33,Vero Beach,Florida,32963,675,1025,350,9/10/2020 13:06,4/28/2021 14:33
3598,10/22/1998,Ormond Beach,Florida,32174,3680,3680,0,8/26/2021 14:53,5/2/2022 22:12
5359,3/22/2003,Palm Beach Gardens,Florida,33410,400,400,0,9/3/2021 18:16,2/26/2022 18:35
2591,5/3/2021 17:14,Palm Harbor,Florida,34685,20,920,900,10/28/2020 15:36,5/3/2021 17:14
3580,6/11/2003,Palmetto Bay,Florida,33157,1400,1400,0,8/26/2021 8:59,11/30/2021 14:26
75,8/3/1998,Jacksonville,Florida,32223,1480,10530,9050,9/6/2020 22:26,1/13/2022 18:42
3267,2/17/2003,Gainesville,Florida,32608,1540,1540,0,8/20/2021 12:41,1/21/2022 17:41
3792,9/11/2001,Fort Myers,Florida,33908,910,910,0,8/28/2021 19:18,4/7/2022 21:57
